
2024/01/04 (21:28:32) | DEBUG: Using locale en_US.UTF-8
2024/01/04 (21:28:32) | INFO: Running on /dev/pts/0
2024/01/04 (21:28:32) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/05 (01:46:23) | ===> btop++ v.1.2.13
2024/01/05 (01:46:23) | INFO: Logger set to DEBUG
2024/01/05 (01:46:23) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (01:46:23) | INFO: Running on /dev/pts/0
2024/01/05 (01:46:23) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/05 (02:00:57) | ===> btop++ v.1.2.13
2024/01/05 (02:00:57) | INFO: Logger set to DEBUG
2024/01/05 (02:00:57) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (02:00:57) | INFO: Running on /dev/pts/0
2024/01/05 (02:00:57) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/05 (02:08:45) | ===> btop++ v.1.2.13
2024/01/05 (02:08:45) | INFO: Logger set to DEBUG
2024/01/05 (02:08:45) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (02:08:45) | INFO: Running on /dev/pts/0
2024/01/05 (02:08:45) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/05 (11:20:49) | ===> btop++ v.1.2.13
2024/01/05 (11:20:49) | INFO: Logger set to DEBUG
2024/01/05 (11:20:49) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (11:20:49) | INFO: Running on /dev/pts/0
2024/01/05 (11:20:49) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2024/01/05 (13:37:53) | ===> btop++ v.1.2.13
2024/01/05 (13:37:53) | INFO: Logger set to DEBUG
2024/01/05 (13:37:53) | DEBUG: Using locale en_US.UTF-8
2024/01/05 (13:37:53) | INFO: Running on /dev/pts/1
2024/01/05 (13:37:53) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
